contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
IBM250905P00150000,IBM,2025-09-05,150.0,put,0.0,0.01,0.0,0,0.25,58,0,0,2025-08-15,0.64413,-0.00088,8e-05,-0.00262,0.00172,-0.00013
IBM250905C00155000,IBM,2025-09-05,155.0,call,0.0,85.3,84.4,32,86.2,61,0,0,2025-08-15,0.83925,0.98867,0.00062,-0.05214,0.01709,0.08728
IBM250905P00155000,IBM,2025-09-05,155.0,put,0.0,0.01,0.0,0,0.65,115,0,0,2025-08-15,0.60511,-0.00099,0.0001,-0.00273,0.00191,-0.00014
IBM250905C00160000,IBM,2025-09-05,160.0,call,0.0,80.1,79.55,27,80.65,24,0,0,2025-08-15,0.01976,1.0,0.0,-0.01893,0.0,0.09183
IBM250905P00160000,IBM,2025-09-05,160.0,put,0.0,0.01,0.0,0,0.66,101,0,0,2025-08-15,0.56608,-0.00109,0.00011,-0.0028,0.0021,-0.00016
IBM250905C00165000,IBM,2025-09-05,165.0,call,0.0,75.58,74.75,7,76.4,70,0,0,2025-08-15,0.83925,0.9755,0.00119,-0.0848,0.03304,0.09104
IBM250905P00165000,IBM,2025-09-05,165.0,put,0.0,0.01,0.0,0,0.67,111,0,0,2025-08-15,0.52706,-0.00119,0.00013,-0.00282,0.00228,-0.00017
IBM250905C00170000,IBM,2025-09-05,170.0,call,0.0,70.15,69.55,27,70.75,10,0,0,2025-08-15,0.46853,0.99914,0.00011,-0.02196,0.00168,0.09744
IBM250905P00170000,IBM,2025-09-05,170.0,put,0.0,0.01,0.0,0,0.68,103,0,0,2025-08-15,0.48804,-0.00128,0.00015,-0.00279,0.00243,-0.00018
IBM250905C00175000,IBM,2025-09-05,175.0,call,0.0,65.35,64.6,46,66.1,53,0,0,2025-08-15,0.62462,0.98581,0.00101,-0.05116,0.02076,0.09837
IBM250905P00175000,IBM,2025-09-05,175.0,put,0.0,0.01,0.0,0,0.29,64,0,0,2025-08-15,0.44901,-0.00136,0.00017,-0.00269,0.00256,-0.00019
IBM250905C00180000,IBM,2025-09-05,180.0,call,0.0,60.02,59.0,68,61.05,51,0,0,2025-08-15,0.01976,1.0,0.0,-0.0213,0.0,0.1033
IBM250905P00180000,IBM,2025-09-05,180.0,put,0.0,0.01,0.0,0,0.69,111,0,0,2025-08-15,0.40999,-0.0014,0.00019,-0.00254,0.00264,-0.0002
IBM250905C00185000,IBM,2025-09-05,185.0,call,0.0,55.2,53.85,82,56.55,71,0,0,2025-08-15,0.39048,0.99774,0.00031,-0.02561,0.00407,0.10585
IBM250905P00185000,IBM,2025-09-05,185.0,put,0.0,0.01,0.0,0,0.51,95,0,0,2025-08-15,0.37097,-0.00142,0.00022,-0.00232,0.00267,-0.0002
IBM250905C00190000,IBM,2025-09-05,190.0,call,0.0,50.78,49.85,3,51.7,80,0,0,2025-08-15,0.5856,0.95932,0.00259,-0.0913,0.05023,0.1031
IBM250905P00190000,IBM,2025-09-05,190.0,put,0.0,0.01,0.0,0,0.62,117,0,0,2025-08-15,0.33194,-0.00139,0.00024,-0.00203,0.00262,-0.0002
IBM250905C00195000,IBM,2025-09-05,195.0,call,45.0,45.02,43.9,75,46.15,54,0,1,2025-08-15,0.01976,1.0,0.0,-0.02308,0.0,0.11191
IBM250905P00195000,IBM,2025-09-05,195.0,put,0.0,0.01,0.0,0,1.68,88,0,0,2025-08-15,0.31243,-0.00236,0.00041,-0.00308,0.00423,-0.00033
IBM250905C00200000,IBM,2025-09-05,200.0,call,0.0,40.38,39.45,44,41.3,46,0,0,2025-08-15,0.37097,0.9825,0.00203,-0.0451,0.02485,0.11229
IBM250905P00200000,IBM,2025-09-05,200.0,put,0.0,0.01,0.0,0,0.15,1,0,5,2025-08-15,0.27341,-0.0023,0.00046,-0.00263,0.00415,-0.00032
IBM250905C00205000,IBM,2025-09-05,205.0,call,0.0,35.88,34.9,14,36.85,78,0,0,2025-08-15,0.4295,0.94458,0.00453,-0.08842,0.06435,0.10966
IBM250905P00205000,IBM,2025-09-05,205.0,put,0.0,0.01,0.0,0,1.36,80,0,0,2025-08-15,0.23438,-0.00215,0.0005,-0.00211,0.00389,-0.0003
IBM250905C00210000,IBM,2025-09-05,210.0,call,0.0,31.0,30.05,9,31.95,81,0,0,2025-08-15,0.39048,0.93145,0.00588,-0.09345,0.07597,0.11066
IBM250905P00210000,IBM,2025-09-05,210.0,put,0.0,0.01,0.0,0,0.54,41,0,0,2025-08-15,0.19536,-0.00186,0.00053,-0.00153,0.00341,-0.00026
IBM250905C00215000,IBM,2025-09-05,215.0,call,23.13,25.62,25.2,15,26.05,17,0,4,2025-08-15,0.29292,0.94734,0.00638,-0.067,0.0618,0.11591
IBM250905P00215000,IBM,2025-09-05,215.0,put,0.0,0.01,0.0,0,0.79,141,0,14,2025-08-15,0.17585,-0.0039,0.00115,-0.00268,0.00666,-0.00055
IBM250905C00220000,IBM,2025-09-05,220.0,call,20.4,21.3,20.55,13,22.05,58,20,23,2025-08-15,0.31243,0.88805,0.0106,-0.10418,0.10949,0.11024
IBM250905P00220000,IBM,2025-09-05,220.0,put,0.4,0.01,0.0,0,0.74,58,18,15,2025-08-15,0.13683,-0.00338,0.0013,-0.00181,0.00586,-0.00047
IBM250905C00225000,IBM,2025-09-05,225.0,call,15.75,16.32,15.45,128,17.2,140,12,10,2025-08-15,0.2539,0.86692,0.01473,-0.09745,0.12362,0.1102
IBM250905P00225000,IBM,2025-09-05,225.0,put,0.8,0.98,0.84,144,1.13,202,22,87,2025-08-15,0.2539,-0.13308,0.01473,-0.07083,0.12362,-0.01893
IBM250905C00230000,IBM,2025-09-05,230.0,call,12.22,12.25,11.85,16,12.65,128,13,26,2025-08-15,0.2539,0.77368,0.02061,-0.12514,0.17302,0.09965
IBM250905P00230000,IBM,2025-09-05,230.0,put,1.59,1.64,1.54,211,1.74,116,13,119,2025-08-15,0.23438,-0.20935,0.02135,-0.08616,0.16541,-0.02982
IBM250905C00235000,IBM,2025-09-05,235.0,call,8.4,8.22,8.1,62,8.35,77,8,79,2025-08-15,0.23438,0.665,0.02703,-0.13482,0.20948,0.08689
IBM250905P00235000,IBM,2025-09-05,235.0,put,2.7,2.85,2.76,98,2.95,21,17,65,2025-08-15,0.21487,-0.32278,0.02905,-0.09608,0.20637,-0.04606
IBM250905C00240000,IBM,2025-09-05,240.0,call,5.2,5.2,5.1,65,5.3,113,81,11531,2025-08-15,0.21487,0.52052,0.03225,-0.1314,0.22909,0.06886
IBM250905P00240000,IBM,2025-09-05,240.0,put,4.7,4.83,4.7,101,4.95,38,6,152,2025-08-15,0.21487,-0.47948,0.03225,-0.103,0.22909,-0.06887
IBM250905C00245000,IBM,2025-09-05,245.0,call,2.98,3.0,2.95,11,3.05,78,184,328,2025-08-15,0.21487,0.36369,0.03039,-0.12043,0.21587,0.04844
IBM250905P00245000,IBM,2025-09-05,245.0,put,0.0,7.67,7.55,97,7.8,72,0,144,2025-08-15,0.21487,-0.63631,0.03039,-0.09144,0.21587,-0.09217
IBM250905C00250000,IBM,2025-09-05,250.0,call,1.62,1.62,1.57,75,1.68,146,384,513,2025-08-15,0.21487,0.22947,0.02454,-0.09554,0.17437,0.03072
IBM250905P00250000,IBM,2025-09-05,250.0,put,11.25,11.35,11.2,83,11.5,16,12,117,2025-08-15,0.21487,-0.77053,0.02454,-0.06596,0.17437,-0.11275
IBM250905C00255000,IBM,2025-09-05,255.0,call,0.87,0.86,0.82,16,0.91,13,30,559,2025-08-15,0.21487,0.13034,0.01715,-0.06595,0.12186,0.01752
IBM250905P00255000,IBM,2025-09-05,255.0,put,15.62,15.38,14.9,134,15.85,13,2,53,2025-08-15,0.21487,-0.86966,0.01715,-0.03578,0.12186,-0.12883
IBM250905C00260000,IBM,2025-09-05,260.0,call,0.44,0.46,0.42,122,0.51,40,47,1086,2025-08-15,0.23438,0.08502,0.01155,-0.0523,0.08949,0.01143
IBM250905P00260000,IBM,2025-09-05,260.0,put,0.0,19.62,18.5,116,20.75,16,0,45,2025-08-15,0.01976,-1.0,0.0,0.03077,0.0,-0.14922
IBM250905C00265000,IBM,2025-09-05,265.0,call,0.35,0.3,0.18,1,0.42,75,48,265,2025-08-15,0.2539,0.05764,0.00791,-0.04172,0.06637,0.00775
IBM250905P00265000,IBM,2025-09-05,265.0,put,0.0,25.4,24.35,67,26.45,75,0,2,2025-08-15,0.31243,-0.89744,0.00995,-0.04792,0.10278,-0.13843
IBM250905C00270000,IBM,2025-09-05,270.0,call,0.18,0.16,0.12,1,0.2,7,5,332,2025-08-15,0.2539,0.02993,0.00465,-0.02444,0.03905,0.00403
IBM250905P00270000,IBM,2025-09-05,270.0,put,0.0,30.27,29.8,19,30.75,17,0,0,2025-08-15,0.33194,-0.92261,0.0076,-0.03606,0.08336,-0.14465
IBM250905C00275000,IBM,2025-09-05,275.0,call,0.15,0.28,0.01,136,0.54,117,1,96,2025-08-15,0.31243,0.03909,0.00471,-0.03725,0.04863,0.00523
IBM250905P00275000,IBM,2025-09-05,275.0,put,0.0,35.23,34.7,21,35.75,11,0,0,2025-08-15,0.37097,-0.92929,0.00634,-0.03811,0.0778,-0.14844
IBM250905C00280000,IBM,2025-09-05,280.0,call,0.18,0.23,0.05,4,0.4,123,2,525,2025-08-15,0.33194,0.03008,0.00357,-0.03182,0.03921,0.00402
IBM250905P00280000,IBM,2025-09-05,280.0,put,0.0,40.2,39.75,16,40.65,16,0,0,2025-08-15,0.40999,-0.93382,0.00545,-0.04084,0.07393,-0.15195
IBM250905C00285000,IBM,2025-09-05,285.0,call,0.18,0.19,0.01,29,0.37,100,8,88,2025-08-15,0.35146,0.02381,0.00278,-0.02765,0.03226,0.00318
IBM250905P00285000,IBM,2025-09-05,285.0,put,0.0,45.2,44.7,27,45.7,11,0,0,2025-08-15,0.44901,-0.93693,0.0048,-0.04413,0.07122,-0.15526
IBM250905C00290000,IBM,2025-09-05,290.0,call,0.1,0.01,0.0,0,0.38,81,13,84,2025-08-15,0.27341,0.00231,0.00046,-0.00277,0.00415,0.00031
IBM250905P00290000,IBM,2025-09-05,290.0,put,0.0,50.23,49.7,29,50.75,19,0,1,2025-08-15,0.48804,-0.93904,0.0043,-0.04792,0.06935,-0.15843
IBM250905C00295000,IBM,2025-09-05,295.0,call,0.11,0.01,0.0,0,1.92,125,0,2,2025-08-15,0.29292,0.00197,0.00037,-0.00256,0.0036,0.00027
IBM250905P00295000,IBM,2025-09-05,295.0,put,0.0,55.17,54.8,12,55.55,23,0,0,2025-08-15,0.50755,-0.94772,0.00366,-0.04076,0.06145,-0.16245
IBM250905C00300000,IBM,2025-09-05,300.0,call,0.15,0.01,0.0,0,1.1,101,0,5,2025-08-15,0.31243,0.00174,0.00031,-0.00243,0.00321,0.00023
IBM250905P00300000,IBM,2025-09-05,300.0,put,0.0,60.08,59.4,64,60.75,5,0,0,2025-08-15,0.52706,-0.95462,0.00315,-0.03459,0.05487,-0.16623
IBM250905C00305000,IBM,2025-09-05,305.0,call,0.0,0.01,0.0,0,1.29,91,0,0,2025-08-15,0.33194,0.00157,0.00027,-0.00236,0.00292,0.00021
IBM250905P00305000,IBM,2025-09-05,305.0,put,0.0,65.6,64.5,40,66.7,102,0,0,2025-08-15,0.64413,-0.9286,0.00368,-0.08603,0.07839,-0.16583
IBM250905C00310000,IBM,2025-09-05,310.0,call,0.03,0.01,0.0,0,2.15,119,0,3,2025-08-15,0.35146,0.00145,0.00023,-0.00232,0.00272,0.0002
IBM250905P00310000,IBM,2025-09-05,310.0,put,0.0,70.45,69.45,54,71.45,79,0,0,2025-08-15,0.66364,-0.93573,0.00329,-0.07922,0.07227,-0.16963
IBM250905C00315000,IBM,2025-09-05,315.0,call,0.23,0.01,0.0,0,1.28,147,0,2,2025-08-15,0.37097,0.00136,0.00021,-0.00231,0.00257,0.00018
IBM250905P00315000,IBM,2025-09-05,315.0,put,0.0,75.2,73.85,91,76.55,86,0,0,2025-08-15,0.64413,-0.95296,0.00265,-0.0506,0.05648,-0.17469
IBM250905C00320000,IBM,2025-09-05,320.0,call,0.0,0.01,0.0,0,1.28,110,0,0,2025-08-15,0.39048,0.0013,0.00019,-0.00233,0.00247,0.00018
IBM250905P00320000,IBM,2025-09-05,320.0,put,0.0,80.07,79.35,61,80.8,7,0,0,2025-08-15,0.66364,-0.95722,0.00238,-0.04595,0.05232,-0.17811
IBM250905C00325000,IBM,2025-09-05,325.0,call,0.0,0.01,0.0,0,1.28,114,0,0,2025-08-15,0.40999,0.00126,0.00018,-0.00237,0.0024,0.00017
IBM250905P00325000,IBM,2025-09-05,325.0,put,0.0,85.03,84.05,83,86.0,53,0,0,2025-08-15,0.68315,-0.96082,0.00216,-0.04184,0.04873,-0.18145
IBM250905C00330000,IBM,2025-09-05,330.0,call,0.0,0.01,0.0,0,1.28,113,0,0,2025-08-15,0.4295,0.00124,0.00017,-0.00244,0.00235,0.00017
IBM250905P00330000,IBM,2025-09-05,330.0,put,0.0,90.17,88.75,107,91.6,93,0,0,2025-08-15,0.74169,-0.95483,0.00223,-0.05868,0.05466,-0.18359
IBM250905C00335000,IBM,2025-09-05,335.0,call,0.0,0.01,0.0,0,1.28,104,0,0,2025-08-15,0.44901,0.00122,0.00016,-0.00252,0.00233,0.00016
IBM250905P00335000,IBM,2025-09-05,335.0,put,0.0,95.15,94.35,64,95.95,58,0,0,2025-08-15,0.7612,-0.958,0.00205,-0.05489,0.05155,-0.18687
IBM250905C00340000,IBM,2025-09-05,340.0,call,0.0,0.01,0.0,0,1.28,113,0,0,2025-08-15,0.46853,0.00122,0.00015,-0.00262,0.00232,0.00016
IBM250905P00340000,IBM,2025-09-05,340.0,put,0.0,100.35,99.25,72,101.45,83,0,0,2025-08-15,0.81974,-0.95218,0.00211,-0.07271,0.05723,-0.18904
IBM250905C00345000,IBM,2025-09-05,345.0,call,0.0,0.01,0.0,0,1.27,104,0,0,2025-08-15,0.48804,0.00122,0.00014,-0.00274,0.00233,0.00016
IBM250905P00345000,IBM,2025-09-05,345.0,put,0.0,104.72,103.75,107,105.7,12,0,0,2025-08-15,0.70267,-0.98035,0.00118,-0.00558,0.02742,-0.19545
IBM250905C00350000,IBM,2025-09-05,350.0,call,0.0,0.01,0.0,0,1.27,106,0,0,2025-08-15,0.50755,0.00123,0.00014,-0.00287,0.00235,0.00016
IBM250905P00350000,IBM,2025-09-05,350.0,put,0.0,110.55,109.4,58,111.7,103,0,0,2025-08-15,0.91729,-0.94506,0.00211,-0.09959,0.06391,-0.19394
IBM250905C00355000,IBM,2025-09-05,355.0,call,0.0,0.01,0.0,0,1.27,117,0,0,2025-08-15,0.52706,0.00125,0.00014,-0.00302,0.00238,0.00017
IBM250905P00355000,IBM,2025-09-05,355.0,put,0.0,115.17,113.85,97,116.5,84,0,0,2025-08-15,0.87827,-0.95965,0.00172,-0.06339,0.0499,-0.19861
IBM250905C00360000,IBM,2025-09-05,360.0,call,0.0,0.01,0.0,0,1.27,100,0,0,2025-08-15,0.54657,0.00128,0.00013,-0.00319,0.00242,0.00017
IBM250905P00360000,IBM,2025-09-05,360.0,put,0.0,119.8,118.9,93,120.7,11,0,0,2025-08-15,0.81974,-0.97483,0.00125,-0.02403,0.0338,-0.20338
IBM250905C00365000,IBM,2025-09-05,365.0,call,0.0,0.01,0.0,0,1.27,105,0,0,2025-08-15,0.56608,0.00131,0.00013,-0.00337,0.00247,0.00017
IBM250905P00365000,IBM,2025-09-05,365.0,put,0.0,125.18,123.9,94,126.45,82,0,0,2025-08-15,0.93681,-0.95973,0.00161,-0.06898,0.04982,-0.20439
IBM250905C00370000,IBM,2025-09-05,370.0,call,0.0,0.01,0.0,0,1.27,110,0,0,2025-08-15,0.56608,0.00093,0.0001,-0.00248,0.00182,0.00012
IBM250905P00370000,IBM,2025-09-05,370.0,put,0.0,130.28,128.9,91,131.65,91,0,0,2025-08-15,0.97583,-0.95788,0.0016,-0.07735,0.05167,-0.20705
IBM250905C00375000,IBM,2025-09-05,375.0,call,0.0,0.01,0.0,0,1.27,114,0,0,2025-08-15,0.5856,0.00098,0.0001,-0.00267,0.00189,0.00013
IBM250905P00375000,IBM,2025-09-05,375.0,put,0.0,135.43,134.15,79,136.7,102,0,0,2025-08-15,1.03437,-0.95248,0.00166,-0.09708,0.05694,-0.20928
IBM250905C00380000,IBM,2025-09-05,380.0,call,0.0,0.01,0.0,0,1.27,108,0,0,2025-08-15,0.60511,0.00102,0.0001,-0.00287,0.00197,0.00014
IBM250905P00380000,IBM,2025-09-05,380.0,put,0.0,140.32,139.4,59,141.25,67,0,0,2025-08-15,1.03437,-0.95754,0.00152,-0.08422,0.05201,-0.21277
IBM250912C00150000,IBM,2025-09-12,150.0,call,0.0,90.62,89.65,20,91.6,70,0,0,2025-08-15,0.85876,0.98231,0.00076,-0.06159,0.02896,0.11113
IBM250912P00150000,IBM,2025-09-12,150.0,put,0.0,0.01,0.0,0,1.31,103,0,0,2025-08-15,0.56608,-0.001,9e-05,-0.00223,0.00224,-0.00019
IBM250912C00155000,IBM,2025-09-12,155.0,call,0.0,85.28,83.8,76,86.75,73,0,0,2025-08-15,0.60511,0.99659,0.00026,-0.02559,0.00682,0.11785
IBM250912P00155000,IBM,2025-09-12,155.0,put,0.0,0.01,0.0,0,1.31,104,0,0,2025-08-15,0.52706,-0.00103,0.0001,-0.00212,0.00229,-0.0002
IBM250912C00160000,IBM,2025-09-12,160.0,call,0.0,80.22,78.85,75,81.6,60,0,0,2025-08-15,0.01976,1.0,0.0,-0.01892,0.0,0.12233
IBM250912P00160000,IBM,2025-09-12,160.0,put,0.0,0.01,0.0,0,1.31,98,0,0,2025-08-15,0.48804,-0.00102,0.00011,-0.00196,0.00228,-0.0002
IBM250912C00165000,IBM,2025-09-12,165.0,call,0.0,75.35,73.95,69,76.75,74,0,0,2025-08-15,0.56608,0.99347,0.00049,-0.03162,0.01217,0.12489
IBM250912P00165000,IBM,2025-09-12,165.0,put,0.0,0.01,0.0,0,1.51,110,0,0,2025-08-15,0.44901,-0.00099,0.00011,-0.00175,0.00222,-0.00019
IBM250912C00170000,IBM,2025-09-12,170.0,call,0.0,70.35,68.8,91,71.9,82,0,0,2025-08-15,0.50755,0.99444,0.00047,-0.0295,0.01056,0.12891
IBM250912P00170000,IBM,2025-09-12,170.0,put,0.0,0.01,0.0,0,1.32,103,0,0,2025-08-15,0.4295,-0.00146,0.00017,-0.00238,0.00316,-0.00028
IBM250912C00175000,IBM,2025-09-12,175.0,call,0.0,65.62,64.95,7,66.3,36,0,0,2025-08-15,0.5856,0.97941,0.00128,-0.05452,0.03295,0.12978
IBM250912P00175000,IBM,2025-09-12,175.0,put,0.0,0.01,0.0,0,1.3,106,0,0,2025-08-15,0.39048,-0.00137,0.00017,-0.00205,0.00299,-0.00026
IBM250912C00180000,IBM,2025-09-12,180.0,call,0.0,60.33,58.95,76,61.7,71,0,0,2025-08-15,0.37097,0.99796,0.00026,-0.02406,0.00428,0.13724
IBM250912P00180000,IBM,2025-09-12,180.0,put,0.0,0.01,0.0,0,1.54,111,0,0,2025-08-15,0.35146,-0.00124,0.00018,-0.00167,0.00272,-0.00023
IBM250912C00185000,IBM,2025-09-12,185.0,call,0.0,55.45,54.0,70,56.9,71,0,0,2025-08-15,0.4295,0.98826,0.00107,-0.03713,0.02034,0.1392
IBM250912P00185000,IBM,2025-09-12,185.0,put,0.0,0.01,0.0,0,1.36,110,0,0,2025-08-15,0.33194,-0.00186,0.00027,-0.00229,0.00395,-0.00035
IBM250912C00190000,IBM,2025-09-12,190.0,call,0.0,50.95,49.95,8,51.95,70,0,0,2025-08-15,0.50755,0.95972,0.00257,-0.0734,0.05754,0.13742
IBM250912P00190000,IBM,2025-09-12,190.0,put,0.0,0.01,0.0,0,1.38,105,0,0,2025-08-15,0.29292,-0.00161,0.00027,-0.00176,0.00345,-0.0003
IBM250912C00195000,IBM,2025-09-12,195.0,call,0.0,45.65,45.15,12,46.15,14,0,0,2025-08-15,0.40999,0.97156,0.00239,-0.05385,0.04321,0.14363
IBM250912P00195000,IBM,2025-09-12,195.0,put,0.0,0.01,0.0,0,1.61,158,0,12,2025-08-15,0.27341,-0.00249,0.00043,-0.00243,0.00513,-0.00047
IBM250912C00200000,IBM,2025-09-12,200.0,call,0.0,40.65,40.2,12,41.1,11,0,0,2025-08-15,0.35146,0.97404,0.00258,-0.04802,0.04005,0.14796
IBM250912P00200000,IBM,2025-09-12,200.0,put,0.23,0.01,0.0,0,0.66,113,6,3,2025-08-15,0.23438,-0.00203,0.00041,-0.00172,0.00426,-0.00038
IBM250912C00205000,IBM,2025-09-12,205.0,call,0.0,35.8,34.65,40,36.95,57,0,0,2025-08-15,0.35146,0.9545,0.0041,-0.06274,0.0635,0.14802
IBM250912P00205000,IBM,2025-09-12,205.0,put,0.32,0.01,0.0,0,0.75,117,6,1,2025-08-15,0.21487,-0.00332,0.0007,-0.00246,0.00665,-0.00062
IBM250912C00210000,IBM,2025-09-12,210.0,call,29.3,30.48,29.4,65,31.55,19,0,3,2025-08-15,0.21487,0.98955,0.00194,-0.03158,0.01839,0.1586
IBM250912P00210000,IBM,2025-09-12,210.0,put,0.0,0.01,0.0,0,0.53,37,0,1,2025-08-15,0.17585,-0.00248,0.00066,-0.00153,0.00511,-0.00046
IBM250912C00215000,IBM,2025-09-12,215.0,call,0.0,26.07,25.5,11,26.65,21,0,0,2025-08-15,0.29292,0.92263,0.00745,-0.07348,0.09624,0.14962
IBM250912P00215000,IBM,2025-09-12,215.0,put,0.0,0.01,0.0,0,0.73,9,0,52,2025-08-15,0.15634,-0.0045,0.00127,-0.00231,0.00875,-0.00084
IBM250912C00220000,IBM,2025-09-12,220.0,call,20.3,21.7,20.85,18,22.55,50,0,0,2025-08-15,0.29292,0.87278,0.01072,-0.09462,0.13837,0.14383
IBM250912P00220000,IBM,2025-09-12,220.0,put,0.89,0.83,0.79,94,0.87,49,6,64,2025-08-15,0.2539,-0.09627,0.01012,-0.04855,0.11332,-0.0183
IBM250912C00225000,IBM,2025-09-12,225.0,call,16.8,17.25,16.75,25,17.75,112,1,18,2025-08-15,0.27341,0.82084,0.01441,-0.1061,0.17371,0.13768
IBM250912P00225000,IBM,2025-09-12,225.0,put,1.4,1.31,1.21,180,1.42,91,8,124,2025-08-15,0.23438,-0.14462,0.01462,-0.05897,0.15106,-0.02751
IBM250912C00230000,IBM,2025-09-12,230.0,call,12.98,13.05,12.65,48,13.45,114,6,34,2025-08-15,0.2539,0.74889,0.01889,-0.11563,0.21148,0.12767
IBM250912P00230000,IBM,2025-09-12,230.0,put,2.13,2.24,2.17,178,2.31,43,8,110,2025-08-15,0.23438,-0.23538,0.01976,-0.07852,0.20422,-0.04498
IBM250912C00235000,IBM,2025-09-12,235.0,call,9.1,9.22,9.1,79,9.35,61,58,40,2025-08-15,0.23438,0.65171,0.02376,-0.12018,0.24549,0.11273
IBM250912P00235000,IBM,2025-09-12,235.0,put,3.65,3.62,3.55,52,3.7,20,7,86,2025-08-15,0.23438,-0.34829,0.02376,-0.09239,0.24549,-0.06694
IBM250912C00240000,IBM,2025-09-12,240.0,call,6.15,6.2,6.1,23,6.3,54,63,129,2025-08-15,0.21487,0.52629,0.0279,-0.11567,0.2643,0.09222
IBM250912P00240000,IBM,2025-09-12,240.0,put,5.54,5.75,5.5,58,6.0,66,5,78,2025-08-15,0.23438,-0.47383,0.02558,-0.09644,0.26431,-0.0917
IBM250912C00245000,IBM,2025-09-12,245.0,call,4.2,3.92,3.85,58,4.0,51,36,107,2025-08-15,0.21487,0.38954,0.02688,-0.10834,0.25466,0.06873
IBM250912P00245000,IBM,2025-09-12,245.0,put,8.75,8.9,8.25,26,9.55,131,10,84,2025-08-15,0.23438,-0.59947,0.02483,-0.08931,0.2566,-0.11695
IBM250912C00250000,IBM,2025-09-12,250.0,call,2.35,2.42,2.3,56,2.55,3,215,202,2025-08-15,0.21487,0.26764,0.02307,-0.09121,0.21857,0.04748
IBM250912P00250000,IBM,2025-09-12,250.0,put,11.5,11.88,11.7,84,12.05,51,1,30,2025-08-15,0.21487,-0.73236,0.02307,-0.06165,0.21857,-0.14366
IBM250912C00255000,IBM,2025-09-12,255.0,call,1.44,1.38,1.32,127,1.44,78,41,244,2025-08-15,0.21487,0.17037,0.01776,-0.06925,0.16825,0.03036
IBM250912P00255000,IBM,2025-09-12,255.0,put,0.0,16.18,15.4,85,16.95,113,0,18,2025-08-15,0.23438,-0.80737,0.01759,-0.05119,0.1817,-0.16078
IBM250912C00260000,IBM,2025-09-12,260.0,call,0.87,0.97,0.75,102,1.19,215,45,138,2025-08-15,0.23438,0.12154,0.01297,-0.05944,0.13401,0.02165
IBM250912P00260000,IBM,2025-09-12,260.0,put,20.13,20.55,19.45,63,21.65,54,14,19,2025-08-15,0.2539,-0.85824,0.01332,-0.04072,0.14904,-0.17363
IBM250912C00265000,IBM,2025-09-12,265.0,call,0.5,0.48,0.43,90,0.54,38,6,60,2025-08-15,0.23438,0.07204,0.00882,-0.04014,0.09114,0.01287
IBM250912P00265000,IBM,2025-09-12,265.0,put,0.0,25.6,24.4,47,26.8,90,0,7,2025-08-15,0.29292,-0.8758,0.01054,-0.04323,0.13606,-0.18066
IBM250912C00270000,IBM,2025-09-12,270.0,call,0.45,0.4,0.01,212,0.78,102,8,51,2025-08-15,0.2539,0.05379,0.00648,-0.03439,0.07258,0.00961
IBM250912P00270000,IBM,2025-09-12,270.0,put,0.0,30.25,29.75,14,30.75,13,0,2,2025-08-15,0.31243,-0.90199,0.00834,-0.03482,0.11482,-0.18912
IBM250912C00275000,IBM,2025-09-12,275.0,call,0.22,0.21,0.01,133,0.4,30,0,13,2025-08-15,0.2539,0.03074,0.00412,-0.02175,0.0461,0.0055
IBM250912P00275000,IBM,2025-09-12,275.0,put,0.0,35.45,34.6,36,36.3,60,0,0,2025-08-15,0.37097,-0.89482,0.00739,-0.05041,0.12088,-0.19183
IBM250912C00280000,IBM,2025-09-12,280.0,call,0.1,0.72,0.01,28,1.43,113,0,38,2025-08-15,0.35146,0.06517,0.00544,-0.05472,0.08435,0.01149
IBM250912P00280000,IBM,2025-09-12,280.0,put,0.0,40.15,39.05,70,41.25,62,0,0,2025-08-15,0.37097,-0.92335,0.00584,-0.03228,0.09556,-0.20061
IBM250912C00285000,IBM,2025-09-12,285.0,call,0.13,0.01,0.0,0,0.44,83,0,104,2025-08-15,0.21487,0.00239,0.00052,-0.00196,0.00495,0.00043
IBM250912P00285000,IBM,2025-09-12,285.0,put,0.0,45.2,44.3,57,46.1,48,0,0,2025-08-15,0.40999,-0.92473,0.00521,-0.03734,0.09425,-0.20474
IBM250912C00290000,IBM,2025-09-12,290.0,call,0.0,0.01,0.0,0,2.2,107,0,0,2025-08-15,0.23438,0.00219,0.00044,-0.00197,0.00457,0.0004
IBM250912P00290000,IBM,2025-09-12,290.0,put,0.0,50.27,49.25,63,51.3,62,0,0,2025-08-15,0.44901,-0.92537,0.00473,-0.04279,0.09363,-0.20873
IBM250912C00295000,IBM,2025-09-12,295.0,call,0.2,0.01,0.0,0,1.35,112,0,10,2025-08-15,0.2539,0.00206,0.00039,-0.00202,0.00433,0.00037
IBM250912P00295000,IBM,2025-09-12,295.0,put,0.0,55.58,54.4,51,56.75,99,0,0,2025-08-15,0.50755,-0.91654,0.00455,-0.05971,0.10191,-0.21114
IBM250912C00300000,IBM,2025-09-12,300.0,call,0.0,0.01,0.0,0,1.34,101,0,0,2025-08-15,0.27341,0.00199,0.00035,-0.0021,0.00418,0.00036
